feature,train_missing,test_missing,train_mean,train_std,test_mean,test_std,data_type
age,0,0,-0.0,1.0021,-0.0612,1.0319,float64
sex,0,0,0.0,1.0021,-0.0208,1.0162,float64
cp,0,0,0.0,1.0021,0.0282,0.9285,float64
trestbps,0,0,0.0,1.0021,0.2173,0.9927,float64
chol,0,0,-0.0,1.0021,-0.2995,0.9516,float64
fbs,0,0,0.0,0.0,0.0,0.0,float64
restecg,0,0,0.0,1.0021,0.0536,0.9849,float64
thalach,0,0,-0.0,1.0021,-0.0817,1.0588,float64
exang,0,0,0.0,1.0021,0.003,1.0094,float64
oldpeak,0,0,0.0,1.0021,0.1999,1.2127,float64
slope,0,0,-0.0,1.0021,0.1127,1.0283,float64
ca,0,0,0.0,1.0021,0.2898,1.192,float64
thal,0,0,0.0,1.0021,0.0413,0.9857,float64
