feature,Q1,Q3,IQR,lower_bound,upper_bound,train_outliers,test_outliers
age,48.0,61.0,13.0,28.5,80.5,0,0
sex,0.0,1.0,1.0,-1.5,2.5,0,0
cp,2.25,4.0,1.75,-0.375,6.625,0,0
trestbps,120.0,140.0,20.0,90.0,170.0,6,3
chol,212.0,277.75,65.75,113.375,376.375,5,0
fbs,0.0,0.0,0.0,0.0,0.0,35,10
restecg,0.0,2.0,2.0,-3.0,5.0,0,0
thalach,134.5,166.0,31.5,87.25,213.25,1,0
exang,0.0,1.0,1.0,-1.5,2.5,0,0
oldpeak,0.0,1.6,1.6,-2.4000000000000004,4.0,4,1
slope,1.0,2.0,1.0,-0.5,3.5,0,0
ca,0.0,1.0,1.0,-1.5,2.5,12,8
thal,3.0,7.0,4.0,-3.0,13.0,0,0
